x_value,total_1,total_2
0,1000,1000
1,1001,996
2,1002,997
3,997,996
4,1001,998
5,997,996
6,1003,998
7,1008,1002
8,1013,998
9,1021,1004
10,1026,1008
11,1025,1006
12,1030,1008
13,1029,1004
14,1034,1008
15,1037,1006
16,1043,1012
17,1040,1010
18,1047,1008
19,1052,1003
20,1058,1008
21,1056,1014
22,1062,1020
23,1067,1020
24,1075,1019
25,1069,1018
26,1075,1024
27,1077,1019
28,1071,1022
29,1066,1020
30,1061,1017
31,1061,1022
32,1057,1024
33,1055,1025
34,1053,1031
35,1058,1037
36,1064,1032
37,1071,1032
38,1074,1032
39,1077,1036
40,1073,1039
41,1073,1038
42,1079,1044
43,1077,1045
44,1083,1044
45,1086,1045
46,1082,1049
47,1079,1048
48,1080,1054
49,1087,1050
50,1084,1056
51,1082,1054
52,1088,1060
53,1092,1066
54,1098,1066
55,1098,1063
56,1105,1064
57,1104,1063
58,1112,1064
59,1115,1059
60,1121,1055
61,1121,1057
62,1117,1056
63,1123,1060
64,1125,1058
65,1129,1060
66,1135,1055
67,1140,1053
68,1138,1054
69,1145,1060
70,1143,1057
71,1138,1055
72,1134,1050
73,1140,1048
74,1137,1043
75,1142,1046
76,1138,1050
77,1143,1053
78,1140,1049
79,1135,1054
80,1143,1049
81,1140,1046
82,1143,1050
83,1140,1056
84,1135,1060
85,1129,1058
86,1133,1060
87,1136,1066
88,1140,1063
89,1134,1064
90,1142,1059
91,1140,1062
92,1137,1062
93,1136,1060
94,1141,1056
95,1144,1061
96,1144,1059
97,1138,1056
98,1132,1056
99,1133,1056
100,1129,1061
101,1124,1059
102,1127,1060
103,1129,1065
104,1129,1060
105,1124,1064
106,1130,1059
107,1124,1061
108,1121,1057
109,1126,1062
110,1130,1066
111,1136,1064
112,1137,1063
113,1142,1066
114,1149,1063
115,1151,1062
116,1145,1058
117,1150,1063
118,1149,1065
119,1152,1071
120,1156,1073
121,1155,1071
122,1161,1072
123,1160,1075
124,1155,1074
125,1149,1071
126,1153,1073
127,1152,1072
128,1152,1073
129,1148,1079
130,1151,1075
131,1149,1070
132,1148,1071
133,1152,1071
134,1146,1075
135,1151,1072
136,1146,1071
137,1143,1075
138,1150,1077
139,1144,1080
140,1147,1079
141,1149,1079
142,1153,1079
143,1157,1078
144,1158,1074
145,1160,1070
146,1157,1066
147,1152,1072
148,1157,1078
149,1163,1075
150,1161,1072
151,1161,1073
152,1158,1071
153,1158,1077
154,1158,1081
155,1157,1078
156,1161,1076
157,1155,1072
158,1150,1077
159,1151,1074
160,1145,1072
161,1139,1068
162,1142,1067
163,1143,1069
164,1143,1073
165,1138,1074
166,1146,1079
167,1148,1080
168,1151,1084
169,1156,1087
170,1161,1092
171,1159,1090
172,1161,1093
173,1163,1091
174,1161,1087
175,1159,1082
176,1165,1088
177,1162,1083
178,1159,1083
179,1165,1088
180,1167,1090
181,1175,1095
182,1173,1095
183,1178,1093
184,1184,1088
